FID,FIPS,CNTYKEY,FENAME,anglo,asian,hisp,total,vap,black,bh,nanglo,anglovap,hispvap,bhvap,blackvap,asianvap,nanglovap,Shape_Leng,Shape_Area
132,265,133,KERR,35791,851,13598,52598,43270,1127,14502,16807,31154,9564,10250,792,613,12116,262814.422095999994781,2856753511.590000152587891
133,267,134,KIMBLE,3136,60,986,4286,3557,37,1013,1150,2713,704,731,36,56,844,249404.639705999987200,3227233370.139999866485596
134,269,135,KING,230,4,25,265,189,8,31,35,165,20,20,2,3,24,194301.272227000008570,2359726663.650000095367432
135,271,136,KINNEY,1489,46,1470,3129,2574,66,1517,1640,1332,1097,1138,42,31,1242,249868.876380000001518,3524222768.860000133514404
136,273,137,KLEBERG,6728,973,21920,31040,23791,1361,23006,24312,5678,16147,17032,1001,806,18113,271080.046809000021312,2823556206.010000228881836
137,275,138,KNOX,1935,34,1130,3353,2526,210,1309,1418,1594,709,850,142,12,932,218294.030678999988595,2210199959.869999885559082
138,277,139,LAMAR,35354,645,4412,50088,38400,7310,11570,14734,28388,2679,7723,5100,482,10012,273988.949177999980748,2410963917.659999847412109
139,279,140,LAMB,4981,41,7449,13045,9511,544,7904,8064,4064,4999,5320,350,31,5447,205465.643146999995224,2631329595.739999771118164
140,281,141,LAMPASAS,15132,512,4179,21627,16856,1079,5135,6495,12417,2739,3411,750,361,4439,201270.094952999992529,1840327563.440000057220459
141,283,142,LA SALLE,1467,28,4908,6664,5268,259,5132,5197,1332,3667,3887,238,18,3936,248805.223495000012917,3862997379.300000190734863
142,285,143,LAVACA,14564,114,3936,20337,15681,1497,5316,5773,11876,2523,3469,991,74,3805,198581.834101999993436,2505194730.190000057220459
143,287,144,LEE,10612,123,4479,17478,13173,1945,6287,6866,8632,2800,4119,1352,80,4541,229957.898083999985829,1635725731.130000114440918
144,289,145,LEON,11659,153,2446,15719,12406,1059,3469,4060,9573,1556,2364,824,103,2833,297770.537853999994695,2786901257.320000171661377
145,291,146,LIBERTY,50044,734,30797,91628,67304,8052,38563,41584,39583,19447,25439,6140,524,27721,240686.907628999993904,3034786854.750000000000000
146,293,147,LIMESTONE,12530,245,5013,22146,17094,4117,8945,9616,10439,3166,6117,2998,172,6655,198021.166492999996990,2406699845.159999847412109
147,295,148,LIPSCOMB,1786,18,1123,3059,2304,22,1140,1273,1461,737,748,15,11,843,196976.784111999993911,2423766720.530000209808350
148,297,149,LIVE OAK,5968,66,4790,11335,9296,275,5031,5367,5035,3758,3974,228,49,4261,242222.895906999998260,2789162624.289999961853027
149,299,150,LLANO,17530,194,2508,21243,18113,233,2687,3713,15459,1679,1803,149,147,2654,234407.568048999994062,2491096305.849999904632568
150,301,151,LOVING,56,3,1,64,40,3,3,8,36,0,2,2,2,4,215842.715505000000121,1744985466.720000028610229
151,303,152,LUBBOCK,154994,11533,109170,310639,237542,31107,137329,155645,126770,74950,95942,22065,9188,110772,193005.366696999990381,2327046949.750000000000000
152,305,153,LYNN,2960,34,2352,5596,4008,151,2482,2636,2201,1610,1692,87,19,1807,192310.787829999986570,2307027279.940000057220459
153,307,154,MCCULLOCH,4904,65,2369,7630,5985,197,2517,2726,4078,1643,1743,118,48,1907,254359.682965999993030,2768362475.019999980926514
154,309,155,MCLENNAN,139693,6704,68587,260579,197391,41799,107816,120886,114049,45305,73119,28777,5171,83342,211170.875039000005927,2734447171.489999771118164
155,311,156,MCMULLEN,353,13,224,600,487,17,231,247,288,181,187,10,10,199,222291.148760999989463,2990552732.789999961853027
156,313,157,MADISON,6984,131,3415,13455,10701,2724,6099,6471,5706,2541,4720,2204,98,4995,199843.738201000000117,1218408031.859999895095825
157,315,158,MARION,6869,96,389,9725,8016,2026,2380,2856,5864,249,1807,1573,62,2152,199293.732447999995202,1084848911.809999942779541
158,317,159,MARTIN,2780,34,2255,5237,3696,128,2359,2457,2067,1497,1569,83,18,1629,194371.148431999987224,2362463218.949999809265137
159,319,160,MASON,2948,21,883,3953,3202,40,909,1005,2482,632,643,25,8,720,197159.420504000008805,2404325702.070000171661377
160,321,161,MATAGORDA,15355,856,15455,36255,27147,4330,19466,20900,12736,10368,13238,2983,670,14411,332997.135597000014968,4165895464.119999885559082
161,323,162,MAVERICK,1574,295,54936,57887,40929,307,55107,56313,1235,38788,38920,205,217,39694,300276.211547999992035,3337518467.119999885559082
162,325,163,MEDINA,22324,528,25455,50748,38971,1762,26930,28424,18307,18298,19532,1362,356,20664,259577.039997000014409,3445233165.349999904632568
163,327,164,MENARD,1231,10,662,1962,1602,33,690,731,1043,501,521,24,9,559,203964.316529000003356,2326975352.329999923706055
164,329,165,MIDLAND,76487,4798,73331,169983,123134,12731,84887,93496,59513,49241,57496,8724,3223,63621,192976.635432999988552,2326557857.480000019073486
165,331,166,MILAM,15367,193,6264,24754,19070,2520,8582,9387,12699,4036,5748,1793,133,6371,235631.984714999998687,2633069566.980000019073486
166,333,167,MILLS,3498,26,728,4456,3569,52,770,958,2895,506,531,33,17,674,247428.250365000014426,1933709661.980000019073486
167,335,168,MITCHELL,4328,71,3454,8990,7215,1072,4457,4662,3563,2618,3486,887,53,3652,194539.563626999995904,2363005794.389999866485596
168,337,169,MONTAGUE,16342,129,2361,19965,15552,206,2543,3623,13134,1483,1560,90,101,2418,221213.413612000003923,2424362228.880000114440918
169,339,170,MONTGOMERY,371403,27701,164089,620443,458324,42774,203758,249040,292180,106583,133728,28578,19134,166144,278001.165149000007659,2777924201.940000057220459
170,341,171,MOORE,6499,1071,12647,21358,14944,832,13398,14859,5146,8298,8849,581,619,9798,194357.116032999998424,2361571299.880000114440918
171,343,172,MORRIS,7716,98,1182,11973,9300,2705,3850,4257,6302,697,2689,2001,63,2998,160667.916659999988042,667934255.269999980926514
172,345,173,MOTLEY,858,18,153,1063,841,18,166,205,705,91,102,12,11,136,202673.961069999990286,2559215279.030000209808350
173,347,174,NACOGDOCHES,37158,1066,13597,64653,50003,11610,24950,27495,30867,8965,17161,8329,788,19136,410139.935993999999482,2530033892.530000209808350
174,349,175,NAVARRO,26996,586,16049,52624,39248,7248,22992,25628,22074,10180,15250,5191,418,17174,248236.060119000001578,2801391600.699999809265137
175,351,176,NEWTON,9249,50,344,12217,9672,2253,2571,2968,7467,222,1895,1683,40,2205,360367.923994000011589,2423693315.920000076293945
176,353,177,NOLAN,8138,150,5354,14738,11028,953,6120,6600,6593,3557,4056,550,105,4435,194028.257481000007829,2357934364.090000152587891
177,355,178,NUECES,106165,10625,217052,353178,270056,17679,231480,247013,88880,157772,168974,12597,7851,181176,359438.153797000006307,3016424654.820000171661377
178,357,179,OCHILTREE,4245,58,5470,10015,6991,66,5510,5770,3284,3490,3516,29,35,3707,195491.113929000013741,2387037193.829999923706055
179,359,180,OLDHAM,1325,31,313,1758,1229,77,372,433,982,186,208,31,17,247,257548.391531000001123,3893377862.010000228881836
180,361,181,ORANGE,64935,1451,7265,84808,64476,8941,15988,19873,50857,4737,10726,6082,1015,13619,192863.303298999991966,979133258.294000029563904
181,363,182,PALO PINTO,20778,345,5614,28409,22038,857,6367,7631,16849,3684,4182,543,257,5189,205282.578630000003614,2543492394.099999904632568
182,365,183,PANOLA,16098,178,2190,22491,17176,3509,5633,6393,12676,1344,3940,2625,133,4500,209296.726574000000255,2118769998.910000085830688
183,367,184,PARKER,117747,1990,19819,148222,111434,2929,22473,30475,91458,12475,14106,1736,1266,19976,194058.305716000002576,2348910618.579999923706055
184,369,185,PARMER,3187,36,6504,9869,7029,137,6575,6682,2543,4355,4413,91,27,4486,191408.489394000003813,2290741544.690000057220459
185,371,186,PECOS,3473,183,10845,15193,11580,630,11376,11720,2976,7839,8338,531,139,8604,628644.475356000009924,12289160467.200000762939453
186,373,187,POLK,34808,490,7345,50123,40664,5422,12617,15315,29099,5248,9459,4280,363,11565,285357.503421999979764,2861930357.400000095367432
187,375,188,POTTER,50153,6757,45193,118525,88598,14438,58528,68372,41765,30459,39749,9678,4521,46833,195629.107744000008097,2390771728.159999847412109
